Timestamp,RES102ROWaterSupply_ResCl2(mg)
30-Jan-26 10:30:00 PM ICT,0.3
30-Jan-26 11:00:00 PM ICT,0.3
30-Jan-26 11:30:00 PM ICT,0.3
31-Jan-26 12:00:00 AM ICT,0.3
31-Jan-26 12:30:00 AM ICT,0.3
31-Jan-26 1:00:00 AM ICT,0.3
31-Jan-26 1:30:00 AM ICT,0.3
31-Jan-26 2:00:00 AM ICT,0.3
31-Jan-26 2:30:00 AM ICT,0.2
31-Jan-26 3:00:00 AM ICT,0.2
31-Jan-26 3:30:00 AM ICT,0.2
31-Jan-26 4:00:00 AM ICT,0.2
31-Jan-26 4:30:00 AM ICT,0.2
31-Jan-26 5:00:00 AM ICT,0.2
31-Jan-26 5:30:00 AM ICT,0.2
31-Jan-26 6:00:00 AM ICT,0.2
31-Jan-26 6:30:00 AM ICT,0.2
31-Jan-26 7:00:00 AM ICT,0.9
31-Jan-26 7:30:00 AM ICT,1.3
31-Jan-26 8:00:00 AM ICT,1.2
31-Jan-26 8:30:00 AM ICT,0.7
31-Jan-26 9:00:00 AM ICT,0.9
31-Jan-26 9:30:00 AM ICT,0.5
31-Jan-26 10:00:00 AM ICT,0.7
31-Jan-26 10:30:00 AM ICT,0.4
31-Jan-26 11:00:00 AM ICT,0.4
31-Jan-26 11:30:00 AM ICT,0.4
31-Jan-26 12:00:00 PM ICT,0.4
31-Jan-26 12:30:00 PM ICT,0.3
31-Jan-26 1:00:00 PM ICT,0.3
31-Jan-26 1:30:00 PM ICT,0.3
31-Jan-26 2:00:00 PM ICT,0.3
31-Jan-26 2:30:00 PM ICT,0.3
31-Jan-26 3:00:00 PM ICT,0.2
31-Jan-26 3:30:00 PM ICT,0.2
31-Jan-26 4:00:00 PM ICT,0.2
31-Jan-26 4:30:00 PM ICT,0.2
31-Jan-26 5:00:00 PM ICT,0.2
31-Jan-26 5:30:00 PM ICT,0.2
31-Jan-26 6:00:00 PM ICT,0.2
31-Jan-26 6:30:00 PM ICT,0.2
31-Jan-26 7:00:00 PM ICT,0.2
31-Jan-26 7:30:00 PM ICT,0.3
31-Jan-26 8:00:00 PM ICT,0.3
31-Jan-26 8:30:00 PM ICT,0.3
31-Jan-26 9:00:00 PM ICT,0.3
31-Jan-26 9:30:00 PM ICT,0.3
31-Jan-26 10:00:00 PM ICT,0.3
31-Jan-26 10:30:00 PM ICT,0.3
31-Jan-26 11:00:00 PM ICT,0.3
31-Jan-26 11:30:00 PM ICT,0.3
01-Feb-26 12:00:00 AM ICT,0.3
01-Feb-26 12:30:00 AM ICT,0.3
01-Feb-26 1:00:00 AM ICT,0.2
01-Feb-26 1:30:00 AM ICT,0.2
01-Feb-26 2:00:00 AM ICT,0.2
01-Feb-26 2:30:00 AM ICT,0.2
01-Feb-26 3:00:00 AM ICT,0.2
01-Feb-26 3:30:00 AM ICT,0.2
01-Feb-26 4:00:00 AM ICT,0.2
01-Feb-26 4:30:00 AM ICT,0.2
01-Feb-26 5:00:00 AM ICT,0.2
01-Feb-26 5:30:00 AM ICT,0.2
01-Feb-26 6:00:00 AM ICT,0.2
01-Feb-26 6:30:00 AM ICT,0.2
01-Feb-26 7:00:00 AM ICT,0.2
01-Feb-26 7:30:00 AM ICT,0.2
01-Feb-26 8:00:00 AM ICT,0.2
01-Feb-26 8:30:00 AM ICT,0.2
01-Feb-26 9:00:00 AM ICT,0.2
01-Feb-26 9:30:00 AM ICT,0.2
01-Feb-26 10:00:00 AM ICT,0.2
01-Feb-26 10:30:00 AM ICT,0.2
01-Feb-26 11:00:00 AM ICT,0.2
01-Feb-26 11:30:00 AM ICT,0.2
01-Feb-26 12:00:00 PM ICT,0.2
01-Feb-26 12:30:00 PM ICT,0.2
01-Feb-26 1:00:00 PM ICT,0.2
01-Feb-26 1:30:00 PM ICT,0.2
01-Feb-26 2:00:00 PM ICT,0.1
01-Feb-26 2:30:00 PM ICT,0.1
01-Feb-26 3:00:00 PM ICT,0.1
01-Feb-26 3:30:00 PM ICT,0.1
01-Feb-26 4:00:00 PM ICT,0.1
01-Feb-26 4:30:00 PM ICT,0.1
01-Feb-26 5:00:00 PM ICT,0.1
01-Feb-26 5:30:00 PM ICT,0.1
01-Feb-26 6:00:00 PM ICT,0.1
01-Feb-26 6:30:00 PM ICT,0.1
01-Feb-26 7:00:00 PM ICT,0.1
01-Feb-26 7:30:00 PM ICT,0.1
01-Feb-26 8:00:00 PM ICT,0.1
01-Feb-26 8:30:00 PM ICT,0.1
01-Feb-26 9:00:00 PM ICT,0.1
01-Feb-26 9:30:00 PM ICT,0.1
01-Feb-26 10:00:00 PM ICT,0.1
01-Feb-26 10:30:00 PM ICT,0.1
01-Feb-26 11:00:00 PM ICT,0.1
01-Feb-26 11:30:00 PM ICT,0.1
02-Feb-26 12:00:00 AM ICT,0.1
02-Feb-26 12:30:00 AM ICT,0.1
02-Feb-26 1:00:00 AM ICT,0.1
02-Feb-26 1:30:00 AM ICT,0.1
02-Feb-26 2:00:00 AM ICT,0.0
02-Feb-26 2:30:00 AM ICT,0.0
02-Feb-26 3:00:00 AM ICT,0.0
02-Feb-26 3:30:00 AM ICT,0.0
02-Feb-26 4:00:00 AM ICT,0.0
02-Feb-26 4:30:00 AM ICT,0.0
02-Feb-26 5:00:00 AM ICT,0.0
02-Feb-26 5:30:00 AM ICT,0.0
02-Feb-26 6:00:00 AM ICT,0.0
02-Feb-26 6:30:00 AM ICT,0.0
02-Feb-26 7:00:00 AM ICT,0.1
02-Feb-26 7:30:00 AM ICT,0.1
02-Feb-26 8:00:00 AM ICT,0.1
02-Feb-26 8:30:00 AM ICT,0.6
02-Feb-26 9:00:00 AM ICT,2.8
02-Feb-26 9:30:00 AM ICT,0.9
02-Feb-26 10:00:00 AM ICT,1.3
02-Feb-26 10:30:00 AM ICT,1.1
02-Feb-26 11:00:00 AM ICT,0.9
02-Feb-26 11:30:00 AM ICT,5.7
02-Feb-26 12:00:00 PM ICT,0.9
02-Feb-26 12:30:00 PM ICT,6.6
02-Feb-26 1:00:00 PM ICT,1.3
02-Feb-26 1:30:00 PM ICT,1.6
02-Feb-26 2:00:00 PM ICT,1.4
02-Feb-26 2:30:00 PM ICT,0.8
02-Feb-26 3:00:00 PM ICT,2.4
02-Feb-26 3:30:00 PM ICT,1.1
02-Feb-26 4:00:00 PM ICT,0.8
02-Feb-26 4:30:00 PM ICT,1.5
02-Feb-26 5:00:00 PM ICT,2.1
02-Feb-26 5:30:00 PM ICT,2.1
02-Feb-26 6:00:00 PM ICT,2.1
02-Feb-26 6:30:00 PM ICT,2.1
02-Feb-26 7:00:00 PM ICT,1.9
02-Feb-26 7:30:00 PM ICT,1.8
02-Feb-26 8:00:00 PM ICT,2.0
02-Feb-26 8:30:00 PM ICT,2.0
02-Feb-26 9:00:00 PM ICT,2.0
02-Feb-26 9:30:00 PM ICT,2.0
02-Feb-26 10:00:00 PM ICT,2.1
02-Feb-26 10:30:00 PM ICT,2.1
02-Feb-26 11:00:00 PM ICT,2.0
02-Feb-26 11:30:00 PM ICT,2.0
03-Feb-26 12:00:00 AM ICT,2.0
03-Feb-26 12:30:00 AM ICT,2.1
03-Feb-26 1:00:00 AM ICT,2.1
03-Feb-26 1:30:00 AM ICT,2.1
03-Feb-26 2:00:00 AM ICT,2.2
03-Feb-26 2:30:00 AM ICT,2.1
03-Feb-26 3:00:00 AM ICT,2.1
03-Feb-26 3:30:00 AM ICT,2.2
03-Feb-26 4:00:00 AM ICT,2.2
03-Feb-26 4:30:00 AM ICT,2.3
03-Feb-26 5:00:00 AM ICT,2.2
03-Feb-26 5:30:00 AM ICT,2.3
03-Feb-26 6:00:00 AM ICT,2.3
03-Feb-26 6:30:00 AM ICT,0.7
03-Feb-26 7:00:00 AM ICT,0.7
03-Feb-26 7:30:00 AM ICT,0.7
03-Feb-26 8:00:00 AM ICT,0.8
03-Feb-26 8:30:00 AM ICT,0.7
03-Feb-26 9:00:00 AM ICT,0.8
03-Feb-26 9:30:00 AM ICT,0.8
03-Feb-26 10:00:00 AM ICT,0.7
03-Feb-26 10:30:00 AM ICT,0.8
03-Feb-26 11:00:00 AM ICT,0.7
03-Feb-26 11:30:00 AM ICT,0.7
03-Feb-26 12:00:00 PM ICT,0.6
03-Feb-26 12:30:00 PM ICT,0.6
03-Feb-26 1:00:00 PM ICT,0.6
03-Feb-26 1:30:00 PM ICT,0.7
03-Feb-26 2:00:00 PM ICT,0.6
03-Feb-26 2:30:00 PM ICT,0.6
03-Feb-26 3:00:00 PM ICT,0.7
03-Feb-26 3:30:00 PM ICT,0.5
03-Feb-26 4:00:00 PM ICT,1.1
03-Feb-26 4:30:00 PM ICT,0.6
03-Feb-26 5:00:00 PM ICT,0.4
03-Feb-26 5:30:00 PM ICT,0.4
03-Feb-26 6:00:00 PM ICT,0.4
03-Feb-26 6:30:00 PM ICT,0.4
03-Feb-26 7:00:00 PM ICT,5.2
03-Feb-26 7:30:00 PM ICT,3.8
03-Feb-26 8:00:00 PM ICT,2.6
03-Feb-26 8:30:00 PM ICT,2.4
03-Feb-26 9:00:00 PM ICT,1.7
03-Feb-26 9:30:00 PM ICT,1.4
03-Feb-26 10:00:00 PM ICT,1.5
03-Feb-26 10:30:00 PM ICT,1.3
03-Feb-26 11:00:00 PM ICT,1.0
03-Feb-26 11:30:00 PM ICT,0.8
04-Feb-26 12:00:00 AM ICT,0.8
04-Feb-26 12:30:00 AM ICT,1.0
04-Feb-26 1:00:00 AM ICT,0.8
04-Feb-26 1:30:00 AM ICT,0.7
04-Feb-26 2:00:00 AM ICT,0.8
04-Feb-26 2:30:00 AM ICT,0.7
04-Feb-26 3:00:00 AM ICT,0.7
04-Feb-26 3:30:00 AM ICT,0.5
04-Feb-26 4:00:00 AM ICT,0.6
04-Feb-26 4:30:00 AM ICT,0.7
04-Feb-26 5:00:00 AM ICT,1.9
04-Feb-26 5:30:00 AM ICT,2.3
04-Feb-26 6:00:00 AM ICT,1.6
04-Feb-26 6:30:00 AM ICT,1.9
04-Feb-26 7:00:00 AM ICT,0.6
04-Feb-26 7:30:00 AM ICT,0.5
04-Feb-26 8:00:00 AM ICT,0.6
04-Feb-26 8:30:00 AM ICT,0.5
04-Feb-26 9:00:00 AM ICT,0.5
04-Feb-26 9:30:00 AM ICT,0.6
04-Feb-26 10:00:00 AM ICT,0.6
04-Feb-26 10:30:00 AM ICT,0.5
04-Feb-26 11:00:00 AM ICT,0.4
04-Feb-26 11:30:00 AM ICT,0.4
04-Feb-26 12:00:00 PM ICT,0.4
04-Feb-26 12:30:00 PM ICT,0.4
04-Feb-26 1:00:00 PM ICT,0.4
04-Feb-26 1:30:00 PM ICT,0.4
04-Feb-26 2:00:00 PM ICT,0.5
04-Feb-26 2:30:00 PM ICT,0.4
04-Feb-26 3:00:00 PM ICT,0.4
04-Feb-26 3:30:00 PM ICT,0.4
04-Feb-26 4:00:00 PM ICT,0.4
04-Feb-26 4:30:00 PM ICT,0.4
04-Feb-26 5:00:00 PM ICT,0.4
04-Feb-26 5:30:00 PM ICT,0.4
04-Feb-26 6:00:00 PM ICT,0.4
04-Feb-26 6:30:00 PM ICT,0.3
04-Feb-26 7:00:00 PM ICT,4.5
04-Feb-26 7:30:00 PM ICT,2.8
04-Feb-26 8:00:00 PM ICT,1.2
04-Feb-26 8:30:00 PM ICT,1.1
04-Feb-26 9:00:00 PM ICT,0.8
04-Feb-26 9:30:00 PM ICT,0.6
04-Feb-26 10:00:00 PM ICT,0.8
04-Feb-26 10:30:00 PM ICT,0.7
04-Feb-26 11:00:00 PM ICT,0.6
04-Feb-26 11:30:00 PM ICT,0.7
05-Feb-26 12:00:00 AM ICT,0.6
05-Feb-26 12:30:00 AM ICT,0.5
05-Feb-26 1:00:00 AM ICT,0.5
05-Feb-26 1:30:00 AM ICT,0.5
05-Feb-26 2:00:00 AM ICT,0.4
05-Feb-26 2:30:00 AM ICT,0.5
05-Feb-26 3:00:00 AM ICT,0.4
05-Feb-26 3:30:00 AM ICT,0.4
05-Feb-26 4:00:00 AM ICT,0.4
05-Feb-26 4:30:00 AM ICT,0.4
05-Feb-26 5:00:00 AM ICT,0.9
05-Feb-26 5:30:00 AM ICT,0.9
05-Feb-26 6:00:00 AM ICT,0.9
05-Feb-26 6:30:00 AM ICT,0.6
05-Feb-26 7:00:00 AM ICT,0.7
05-Feb-26 7:30:00 AM ICT,0.6
05-Feb-26 8:00:00 AM ICT,5.3
05-Feb-26 8:30:00 AM ICT,1.4
05-Feb-26 9:00:00 AM ICT,0.5
05-Feb-26 9:30:00 AM ICT,0.6
05-Feb-26 10:00:00 AM ICT,0.7
05-Feb-26 10:30:00 AM ICT,0.5
05-Feb-26 11:00:00 AM ICT,0.6
05-Feb-26 11:30:00 AM ICT,0.5
05-Feb-26 12:00:00 PM ICT,0.5
05-Feb-26 12:30:00 PM ICT,0.6
05-Feb-26 1:00:00 PM ICT,0.5
05-Feb-26 1:30:00 PM ICT,0.5
05-Feb-26 2:00:00 PM ICT,0.5
05-Feb-26 2:30:00 PM ICT,0.5
05-Feb-26 3:00:00 PM ICT,0.4
05-Feb-26 3:30:00 PM ICT,0.4
05-Feb-26 4:00:00 PM ICT,0.4
05-Feb-26 4:30:00 PM ICT,0.5
05-Feb-26 5:00:00 PM ICT,0.4
05-Feb-26 5:30:00 PM ICT,0.4
05-Feb-26 6:00:00 PM ICT,0.4
05-Feb-26 6:30:00 PM ICT,0.4
05-Feb-26 7:00:00 PM ICT,0.4
05-Feb-26 7:30:00 PM ICT,0.4
05-Feb-26 8:00:00 PM ICT,0.4
05-Feb-26 8:30:00 PM ICT,0.4
05-Feb-26 9:00:00 PM ICT,0.4
05-Feb-26 9:30:00 PM ICT,0.4
05-Feb-26 10:00:00 PM ICT,0.4
05-Feb-26 10:30:00 PM ICT,0.3
05-Feb-26 11:00:00 PM ICT,0.3
05-Feb-26 11:30:00 PM ICT,0.3
06-Feb-26 12:00:00 AM ICT,0.3
06-Feb-26 12:30:00 AM ICT,0.3
06-Feb-26 1:00:00 AM ICT,0.3
06-Feb-26 1:30:00 AM ICT,0.3
06-Feb-26 2:00:00 AM ICT,0.3
06-Feb-26 2:30:00 AM ICT,0.3
06-Feb-26 3:00:00 AM ICT,0.3
06-Feb-26 3:30:00 AM ICT,0.3
06-Feb-26 4:00:00 AM ICT,0.3
06-Feb-26 4:30:00 AM ICT,0.3
06-Feb-26 5:00:00 AM ICT,0.2
06-Feb-26 5:30:00 AM ICT,1.1
06-Feb-26 6:00:00 AM ICT,0.9
06-Feb-26 6:30:00 AM ICT,0.6
06-Feb-26 7:00:00 AM ICT,4.6
06-Feb-26 7:30:00 AM ICT,3.1
06-Feb-26 8:00:00 AM ICT,2.8
06-Feb-26 8:30:00 AM ICT,2.2
06-Feb-26 9:00:00 AM ICT,1.8
06-Feb-26 9:30:00 AM ICT,1.0
06-Feb-26 10:00:00 AM ICT,0.6
06-Feb-26 10:30:00 AM ICT,0.7
06-Feb-26 11:00:00 AM ICT,0.7
06-Feb-26 11:30:00 AM ICT,0.6
06-Feb-26 12:00:00 PM ICT,1.1
06-Feb-26 12:30:00 PM ICT,0.6
06-Feb-26 1:00:00 PM ICT,0.7
06-Feb-26 1:30:00 PM ICT,0.5
06-Feb-26 2:00:00 PM ICT,0.4
06-Feb-26 2:30:00 PM ICT,0.4
06-Feb-26 3:00:00 PM ICT,0.4
06-Feb-26 3:30:00 PM ICT,0.4
06-Feb-26 4:00:00 PM ICT,0.4
06-Feb-26 4:30:00 PM ICT,0.4
06-Feb-26 5:00:00 PM ICT,0.3
06-Feb-26 5:30:00 PM ICT,0.3
06-Feb-26 6:00:00 PM ICT,0.3
06-Feb-26 6:30:00 PM ICT,0.3
06-Feb-26 7:00:00 PM ICT,0.3
06-Feb-26 7:30:00 PM ICT,0.3
06-Feb-26 8:00:00 PM ICT,0.3
06-Feb-26 8:30:00 PM ICT,0.3
06-Feb-26 9:00:00 PM ICT,0.3
06-Feb-26 9:30:00 PM ICT,3.0
06-Feb-26 10:00:00 PM ICT,3.7
06-Feb-26 10:30:00 PM ICT,2.8
06-Feb-26 11:00:00 PM ICT,1.9
06-Feb-26 11:30:00 PM ICT,1.8
07-Feb-26 12:00:00 AM ICT,1.2
07-Feb-26 12:30:00 AM ICT,1.2
07-Feb-26 1:00:00 AM ICT,1.1
07-Feb-26 1:30:00 AM ICT,1.0
07-Feb-26 2:00:00 AM ICT,0.8
07-Feb-26 2:30:00 AM ICT,0.7
07-Feb-26 3:00:00 AM ICT,0.8
07-Feb-26 3:30:00 AM ICT,0.7
07-Feb-26 4:00:00 AM ICT,0.7
07-Feb-26 4:30:00 AM ICT,0.5
07-Feb-26 5:00:00 AM ICT,0.6
07-Feb-26 5:30:00 AM ICT,0.6
07-Feb-26 6:00:00 AM ICT,0.5
07-Feb-26 6:30:00 AM ICT,0.7
07-Feb-26 7:00:00 AM ICT,0.6
07-Feb-26 7:30:00 AM ICT,0.5
07-Feb-26 8:00:00 AM ICT,0.5
07-Feb-26 8:30:00 AM ICT,0.5
07-Feb-26 9:00:00 AM ICT,0.8
07-Feb-26 9:30:00 AM ICT,0.8
07-Feb-26 10:00:00 AM ICT,0.8
07-Feb-26 10:30:00 AM ICT,0.8
07-Feb-26 11:00:00 AM ICT,0.8
07-Feb-26 11:30:00 AM ICT,0.7
07-Feb-26 12:00:00 PM ICT,0.7
07-Feb-26 12:30:00 PM ICT,0.7
07-Feb-26 1:00:00 PM ICT,0.7
07-Feb-26 1:30:00 PM ICT,0.7
07-Feb-26 2:00:00 PM ICT,0.7
07-Feb-26 2:30:00 PM ICT,0.7
07-Feb-26 3:00:00 PM ICT,0.7
07-Feb-26 3:30:00 PM ICT,0.7
07-Feb-26 4:00:00 PM ICT,0.7
07-Feb-26 4:30:00 PM ICT,0.7
07-Feb-26 5:00:00 PM ICT,0.7
07-Feb-26 5:30:00 PM ICT,0.7
07-Feb-26 6:00:00 PM ICT,0.7
07-Feb-26 6:30:00 PM ICT,0.7
07-Feb-26 7:00:00 PM ICT,0.7
07-Feb-26 7:30:00 PM ICT,0.7
07-Feb-26 8:00:00 PM ICT,0.7
07-Feb-26 8:30:00 PM ICT,0.7
07-Feb-26 9:00:00 PM ICT,0.7
07-Feb-26 9:30:00 PM ICT,0.7
07-Feb-26 10:00:00 PM ICT,0.7
07-Feb-26 10:30:00 PM ICT,0.7
07-Feb-26 11:00:00 PM ICT,0.7
07-Feb-26 11:30:00 PM ICT,0.8
08-Feb-26 12:00:00 AM ICT,0.7
08-Feb-26 12:30:00 AM ICT,0.7
08-Feb-26 1:00:00 AM ICT,0.7
08-Feb-26 1:30:00 AM ICT,0.7
08-Feb-26 2:00:00 AM ICT,0.7
08-Feb-26 2:30:00 AM ICT,0.7
08-Feb-26 3:00:00 AM ICT,0.8
08-Feb-26 3:30:00 AM ICT,0.7
08-Feb-26 4:00:00 AM ICT,0.7
08-Feb-26 4:30:00 AM ICT,0.7
08-Feb-26 5:00:00 AM ICT,0.7
08-Feb-26 5:30:00 AM ICT,0.7
08-Feb-26 6:00:00 AM ICT,0.7
08-Feb-26 6:30:00 AM ICT,0.7
08-Feb-26 7:00:00 AM ICT,0.7
08-Feb-26 7:30:00 AM ICT,0.7
08-Feb-26 8:00:00 AM ICT,0.7
08-Feb-26 8:30:00 AM ICT,0.6
08-Feb-26 9:00:00 AM ICT,0.5
08-Feb-26 9:30:00 AM ICT,0.5
08-Feb-26 10:00:00 AM ICT,0.4
08-Feb-26 10:30:00 AM ICT,0.3
08-Feb-26 11:00:00 AM ICT,0.3
08-Feb-26 11:30:00 AM ICT,0.3
08-Feb-26 12:00:00 PM ICT,0.3
08-Feb-26 12:30:00 PM ICT,0.3
08-Feb-26 1:00:00 PM ICT,0.3
08-Feb-26 1:30:00 PM ICT,0.3
08-Feb-26 2:00:00 PM ICT,0.3
08-Feb-26 2:30:00 PM ICT,0.3
08-Feb-26 3:00:00 PM ICT,0.3
08-Feb-26 3:30:00 PM ICT,0.3
08-Feb-26 4:00:00 PM ICT,0.3
08-Feb-26 4:30:00 PM ICT,0.3
08-Feb-26 5:00:00 PM ICT,0.2
08-Feb-26 5:30:00 PM ICT,0.2
08-Feb-26 6:00:00 PM ICT,0.2
08-Feb-26 6:30:00 PM ICT,0.2
08-Feb-26 7:00:00 PM ICT,0.2
08-Feb-26 7:30:00 PM ICT,0.2
08-Feb-26 8:00:00 PM ICT,0.2
08-Feb-26 8:30:00 PM ICT,0.2
08-Feb-26 9:00:00 PM ICT,0.2
08-Feb-26 9:30:00 PM ICT,0.2
08-Feb-26 10:00:00 PM ICT,0.2
08-Feb-26 10:30:00 PM ICT,0.2
08-Feb-26 11:00:00 PM ICT,0.2
08-Feb-26 11:30:00 PM ICT,0.2
09-Feb-26 12:00:00 AM ICT,0.2
09-Feb-26 12:30:00 AM ICT,0.2
09-Feb-26 1:00:00 AM ICT,0.2
09-Feb-26 1:30:00 AM ICT,0.2
09-Feb-26 2:00:00 AM ICT,0.2
09-Feb-26 2:30:00 AM ICT,0.1
09-Feb-26 3:00:00 AM ICT,0.1
09-Feb-26 3:30:00 AM ICT,0.1
09-Feb-26 4:00:00 AM ICT,0.1
09-Feb-26 4:30:00 AM ICT,0.1
09-Feb-26 5:00:00 AM ICT,0.1
09-Feb-26 5:30:00 AM ICT,0.1
09-Feb-26 6:00:00 AM ICT,0.1
09-Feb-26 6:30:00 AM ICT,0.1
09-Feb-26 7:00:00 AM ICT,0.1
09-Feb-26 7:30:00 AM ICT,0.1
09-Feb-26 8:00:00 AM ICT,0.1
09-Feb-26 8:30:00 AM ICT,0.1
09-Feb-26 9:00:00 AM ICT,0.1
09-Feb-26 9:30:00 AM ICT,0.1
09-Feb-26 10:00:00 AM ICT,0.1
09-Feb-26 10:30:00 AM ICT,0.1
09-Feb-26 11:00:00 AM ICT,0.1
09-Feb-26 11:30:00 AM ICT,0.1
09-Feb-26 12:00:00 PM ICT,0.1
09-Feb-26 12:30:00 PM ICT,0.1
09-Feb-26 1:00:00 PM ICT,0.1
